年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/11/28,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/11/29,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,,,,リプラ,リプラ,,,,リプラ,リプラ,可燃,可燃,可燃
2019/11/30,土,,,,,,,,,,,,,,,,,,,,,,,
2019/12/1,日,,,,,,,,,,,,,,,,,,,,,,,
2019/12/2,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/12/3,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/12/4,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/12/5,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/12/6,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/12/7,土,,,,,,,,,,,,,,,,,,,,,,,
2019/12/8,日,,,,,,,,,,,,,,,,,,,,,,,
2019/12/9,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/12/10,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/12/11,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/12/12,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/12/13,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/12/14,土,,,,,,,,,,,,,,,,,,,,,,,
2019/12/15,日,,,,,,,,,,,,,,,,,,,,,,,
2019/12/16,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/12/17,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/12/18,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/12/19,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/12/20,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/12/21,土,,,,,,,,,,,,,,,,,,,,,,,
2019/12/22,日,,,,,,,,,,,,,,,,,,,,,,,
2019/12/23,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/12/24,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/12/25,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/12/26,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/12/27,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/12/28,土,,,,,,,,,,,,,,,,,,,,,,,
2019/12/29,日,,,,,,,,,,,,,,,,,,,,,,,
2019/12/30,月,可燃,可燃,可燃,,,,,,,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,
2019/12/31,火,,,,,,,,,,,,,,,,,,,,,,,
2020/1/1,水,,,,,,,,,,,,,,,,,,,,,,,
2020/1/2,木,,,,,,,,,,,,,,,,,,,,,,,
2020/1/3,金,,,,,,,,,,,,,,,,,,,,,,,
2020/1/4,土,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,,,,リプラ,リプラ,,,,リプラ,リプラ,可燃,可燃,可燃
2020/1/5,日,,,,,,,,,,,,,,,,,,,,,,,
2020/1/6,月,可燃,可燃,可燃,不燃,他プラ,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,他プラ,他プラ
2020/1/7,火,,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,他プラ,資源,他プラ,リプラ,他プラ,他プラ,他プラ,他プラ,可燃,可燃,可燃
2020/1/8,水,資源,不燃,資源,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,不燃,不燃,他プラ,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/1/9,木,可燃,可燃,可燃,資源,,不燃,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,不燃,リプラ
2020/1/10,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,不燃,資源,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/1/11,土,,,,,,,,,,,,,,,,,,,,,,,
2020/1/12,日,,,,,,,,,,,,,,,,,,,,,,,
2020/1/13,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2020/1/14,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,不燃,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2020/1/15,水,他プラ,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,不燃,リプラ,リプラ,,他プラ,リプラ,リプラ,
2020/1/16,木,可燃,可燃,可燃,他プラ,資源,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2020/1/17,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,他プラ,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2020/1/18,土,,,,,,,,,,,,,,,,,,,,,,,
2020/1/19,日,,,,,,,,,,,,,,,,,,,,,,,
2020/1/20,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2020/1/21,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2020/1/22,水,資源,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/1/23,木,可燃,可燃,可燃,資源,他プラ,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2020/1/24,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,資源,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/1/25,土,,,,,,,,,,,,,,,,,,,,,,,
2020/1/26,日,,,,,,,,,,,,,,,,,,,,,,,
2020/1/27,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2020/1/28,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2020/1/29,水,他プラ,,,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,,リプラ,リプラ,
2020/1/30,木,可燃,可燃,可燃,他プラ,資源,,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,リプラ
2020/1/31,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,,他プラ,,リプラ,リプラ,,,,リプラ,リプラ,可燃,可燃,可燃
2020/2/1,土,,,,,,,,,,,,,,,,,,,,,,,
2020/2/2,日,,,,,,,,,,,,,,,,,,,,,,,
2020/2/3,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2020/2/4,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2020/2/5,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2020/2/6,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2020/2/7,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2020/2/8,土,,,,,,,,,,,,,,,,,,,,,,,
2020/2/9,日,,,,,,,,,,,,,,,,,,,,,,,
2020/2/10,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2020/2/11,火,不燃,資源,不燃,,,,,,,他プラ,他プラ,,,他プラ,資源,,不燃,資源,資源,不燃,,,
2020/2/12,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/2/13,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2020/2/14,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/2/15,土,,,,,,,,,,,,,,,,,,,,,,,
2020/2/16,日,,,,,,,,,,,,,,,,,,,,,,,
2020/2/17,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2020/2/18,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2020/2/19,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2020/2/20,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2020/2/21,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2020/2/22,土,,,,,,,,,,,,,,,,,,,,,,,
2020/2/23,日,,,,,,,,,,,,,,,,,,,,,,,
2020/2/24,月,,,,,不燃,他プラ,資源,他プラ,資源,,,,,,,,,,,,不燃,資源,資源
2020/2/25,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2020/2/26,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/2/27,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2020/2/28,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/2/29,土,,,,,,,,,,,,,,,,,,,,,,,
2020/3/1,日,,,,,,,,,,,,,,,,,,,,,,,
2020/3/2,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2020/3/3,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2020/3/4,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2020/3/5,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2020/3/6,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2020/3/7,土,,,,,,,,,,,,,,,,,,,,,,,
2020/3/8,日,,,,,,,,,,,,,,,,,,,,,,,
2020/3/9,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2020/3/10,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2020/3/11,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/3/12,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2020/3/13,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/3/14,土,,,,,,,,,,,,,,,,,,,,,,,
2020/3/15,日,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2020/3/17,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2020/3/18,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2020/3/19,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2020/3/20,金,,,,,,,,,,不燃,,資源,他プラ,,,他プラ,他プラ,,,,,,
2020/3/21,土,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,日,,,,,,,,,,,,,,,,,,,,,,,
2020/3/23,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2020/3/24,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2020/3/25,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2020/3/26,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2020/3/27,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2020/3/28,土,,,,,,,,,,,,,,,,,,,,,,,
2020/3/29,日,,,,,,,,,,,,,,,,,,,,,,,
2020/3/30,月,可燃,可燃,可燃,,,,,,,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,
2020/3/31,火,,,,可燃,可燃,可燃,可燃,可燃,可燃,,,,,,,リプラ,,,,,可燃,可燃,可燃
