年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12
 2019-09-29 ,日,,,,,,,,,,,,
 2019-09-30 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-10-01 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-10-02 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-10-03 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-10-04 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-10-05 ,土,,,,,,,,,,,,
 2019-10-06 ,日,,,,,,,,,,,,
 2019-10-07 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-10-08 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-10-09 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-10-10 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-10-11 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-10-12 ,土,,,,,,,,,,,,
 2019-10-13 ,日,,,,,,,,,,,,
 2019-10-14 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-10-15 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-10-16 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-10-17 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-10-18 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-10-19 ,土,,,,,,,,,,,,
 2019-10-20 ,日,,,,,,,,,,,,
 2019-10-21 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-10-22 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-10-23 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-10-24 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-10-25 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-10-26 ,土,,,,,,,,,,,,
 2019-10-27 ,日,,,,,,,,,,,,
 2019-10-28 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-10-29 ,火,可燃,可燃,可燃,可燃,,リプラ,,,可燃,,可燃,リプラ
 2019-10-30 ,水,リプラ,リプラ,,リプラ,リプラ,,リプラ,,,,,
 2019-10-31 ,木,,,リプラ,,可燃,可燃,可燃,可燃,リプラ,可燃,,可燃
 2019-11-01 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-11-02 ,土,,,,,,,,,,,,
 2019-11-03 ,日,,,,,,,,,,,,
 2019-11-04 ,月,資源,資源,他プラ,不燃,,,,,,,,
 2019-11-05 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-11-06 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-11-07 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-11-08 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-11-09 ,土,,,,,,,,,,,,
 2019-11-10 ,日,,,,,,,,,,,,
 2019-11-11 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-11-12 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-11-13 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-11-14 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-11-15 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-11-16 ,土,,,,,,,,,,,,
 2019-11-17 ,日,,,,,,,,,,,,
 2019-11-18 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-11-19 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-11-20 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-11-21 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-11-22 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-11-23 ,土,,,,,,,,,,,,
 2019-11-24 ,日,,,,,,,,,,,,
 2019-11-25 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-11-26 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-11-27 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-11-28 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-11-29 ,金,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2019-11-30 ,土,,,,,,,,,,,,
 2019-12-01 ,日,,,,,,,,,,,,
 2019-12-02 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-12-03 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-12-04 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-12-05 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-12-06 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-12-07 ,土,,,,,,,,,,,,
 2019-12-08 ,日,,,,,,,,,,,,
 2019-12-09 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-12-10 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-12-11 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-12-12 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-12-13 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-12-14 ,土,,,,,,,,,,,,
 2019-12-15 ,日,,,,,,,,,,,,
 2019-12-16 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-12-17 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-12-18 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-12-19 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-12-20 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-12-21 ,土,,,,,,,,,,,,
 2019-12-22 ,日,,,,,,,,,,,,
 2019-12-23 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-12-24 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-12-25 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-12-26 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-12-27 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-12-28 ,土,,,,,,,,,,,,
 2019-12-29 ,日,,,,,,,,,,,,
 2019-12-30 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-12-31 ,火,,,,,,,,,,,,
 2020-01-01 ,水,,,,,,,,,,,,
 2020-01-02 ,木,,,,,,,,,,,,
 2020-01-03 ,金,,,,,,,,,,,,
 2020-01-04 ,土,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2020-01-05 ,日,,,,,,,,,,,,
 2020-01-06 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,資源,可燃,リプラ,可燃
 2020-01-07 ,火,可燃,可燃,可燃,可燃,他プラ,リプラ,資源,他プラ,可燃,資源,可燃,リプラ
 2020-01-08 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,不燃,他プラ,資源
 2020-01-09 ,木,不燃,不燃,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-01-10 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,不燃
 2020-01-11 ,土,,,,,,,,,,,,
 2020-01-12 ,日,,,,,,,,,,,,
 2020-01-13 ,月,他プラ,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-01-14 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,不燃,資源,可燃,他プラ,可燃,リプラ
 2020-01-15 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2020-01-16 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2020-01-17 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2020-01-18 ,土,,,,,,,,,,,,
 2020-01-19 ,日,,,,,,,,,,,,
 2020-01-20 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-01-21 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2020-01-22 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,不燃,資源
 2020-01-23 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-01-24 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2020-01-25 ,土,,,,,,,,,,,,
 2020-01-26 ,日,,,,,,,,,,,,
 2020-01-27 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-01-28 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2020-01-29 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,,,,他プラ
 2020-01-30 ,木,,,リプラ,,可燃,可燃,可燃,可燃,リプラ,可燃,,可燃
 2020-01-31 ,金,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2020-02-01 ,土,,,,,,,,,,,,
 2020-02-02 ,日,,,,,,,,,,,,
 2020-02-03 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-02-04 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2020-02-05 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2020-02-06 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2020-02-07 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2020-02-08 ,土,,,,,,,,,,,,
 2020-02-09 ,日,,,,,,,,,,,,
 2020-02-10 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-02-11 ,火,,,,,不燃,,,資源,,他プラ,,
 2020-02-12 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2020-02-13 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-02-14 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2020-02-15 ,土,,,,,,,,,,,,
 2020-02-16 ,日,,,,,,,,,,,,
 2020-02-17 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-02-18 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2020-02-19 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2020-02-20 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2020-02-21 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2020-02-22 ,土,,,,,,,,,,,,
 2020-02-23 ,日,,,,,,,,,,,,
 2020-02-24 ,月,他プラ,他プラ,資源,,,,,,不燃,,,
 2020-02-25 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2020-02-26 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2020-02-27 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-02-28 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2020-02-29 ,土,,,,,,,,,,,,
 2020-03-01 ,日,,,,,,,,,,,,
 2020-03-02 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-03-03 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2020-03-04 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2020-03-05 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2020-03-06 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2020-03-07 ,土,,,,,,,,,,,,
 2020-03-08 ,日,,,,,,,,,,,,
 2020-03-09 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-03-10 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2020-03-11 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2020-03-12 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-03-13 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2020-03-14 ,土,,,,,,,,,,,,
 2020-03-15 ,日,,,,,,,,,,,,
 2020-03-16 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-03-17 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2020-03-18 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2020-03-19 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2020-03-20 ,金,,,,,他プラ,,資源,,,,,不燃
 2020-03-21 ,土,,,,,,,,,,,,
 2020-03-22 ,日,,,,,,,,,,,,
 2020-03-23 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-03-24 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2020-03-25 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2020-03-26 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-03-27 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2020-03-28 ,土,,,,,,,,,,,,
 2020-03-29 ,日,,,,,,,,,,,,
 2020-03-30 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2020-03-31 ,火,可燃,可燃,可燃,可燃,,リプラ,,,可燃,,可燃,リプラ
